Time (s)	ECG	reBAP	Markers
0	0.75	0	
0.005	1	0	
0.01	0	0	
0.015	-1.25	0	
0.02	-1.25	0	
0.025	-0.5	0	
0.03	-0.5	0	
0.035	-1.75	0	
0.04	-1.75	0	
0.045	-0.75	0	
0.05	-1	0	
0.055	-2.25	0	
0.06	-2.25	0	
0.065	-1.25	0	
0.07	-1.5	0	
0.075	-2.5	0	
0.08	-2	0	
0.085	-1	0	
0.09	-1.25	0	
0.095	-2.25	0	
0.1	-2.25	0	
0.105	-1	0	
0.11	-1.25	0	
0.115	-2	0	
0.12	-2	0	
0.125	-1	0	
0.13	-1.25	0	
0.135	-1.75	0	
0.14	-1.5	0	
0.145	-0.75	0	
0.15	-1	0	
0.155	-1.75	0	
0.16	-1.75	0	
0.165	-1	0	
0.17	-1.25	0	
0.175	-2	0	
0.18	-1.75	0	
0.185	-0.75	0	
0.19	-1	0	
0.195	-1.5	0	
0.2	-1.5	0	
0.205	-0.75	0	
0.21	-1.25	0	
0.215	-1.75	0	
0.22	-1.75	0	
0.225	-0.75	0	
0.23	-1.25	0	
0.235	-2.25	0	
0.24	-2.25	0	
0.245	-1	0	
0.25	-1.5	0	
0.255	-2.25	0	
0.26	-2.25	0.3	
0.265	-1	0.3	
0.27	-1.25	0.3	
0.275	-2	0.5	
0.28	-1.75	0.3	
0.285	-1	0.8	
0.29	-1.5	0.5	
0.295	-2.25	0.8	
0.3	-2	1.3	
0.305	-1.25	2	
0.31	-1.25	3	
0.315	-1.75	4.3	
0.32	-1.5	5.5	
0.325	-0.75	6.8	
0.33	-1.25	7.8	
0.335	-2.25	8.5	
0.34	-2	9.8	
0.345	-0.75	10.8	
0.35	-1	11.5	
0.355	-1.75	12.5	
0.36	-1.25	13.3	
0.365	-0.25	14.3	
0.37	-1	15	
0.375	-2	16	
0.38	-1.75	16.8	
0.385	-0.5	17.8	
0.39	-0.5	18.5	
0.395	-1.25	19	
0.4	-1.25	19.8	
0.405	-0.5	20.3	
0.41	-0.5	21	
0.415	-1.5	21.8	
0.42	-1.5	22.5	
0.425	-0.5	22.8	
0.43	-0.5	23.3	
0.435	-1.5	24	
0.44	-1.5	24.3	
0.445	-0.75	24.5	
0.45	-0.75	25	
0.455	-1	25.3	
0.46	-1	25.5	
0.465	-0.5	25.8	
0.47	-0.25	25.8	
